"director_id","director_name"
1,"A. Leung Wong"
2,"A. Liong Wong"
3,"A.M.R."
4,"Achmad Romie"
5,"Achmad Rouzni Noor II"
6,"Aco Tenriyagelli"
7,"Adhe Dharmastriya"
8,"Adi Garin"
9,"Adilla Dimitri"
10,"Adink Liwutang"
11,"Adis Kayl Yurahmah"
12,"Aditya Gumay"
13,"Aditya Testarossa"
14,"Adnan Djani"
15,"Adrian Tang"
16,"Adriano Rudiman"
17,"Adrianto Sinaga"
18,"Adriyanto Dewo"
19,"Affandi Abdul Rachman"
20,"Agasyah Karim"
21,"Agung Sentausa"
22,"Agus Hermansyah Mawardy"
23,"Agus Makkie"
24,"Agus Pestol"
25,"Agusti Tanjung"
26,"Agustinus Sitorus"
27,"Ainun Ridho"
28,"Alamsyah"
29,"Aldiansyah Taher"
30,"Aldo Swastia"
31,"Alex Latief"
32,"Alfrits John Robert"
33,"Alim Ishaq"
34,"Allan Lunardi"
35,"Allo Geaffary"
36,"Alyandra"
37,"Amanda Iswan"
38,"Amandha Wyanto"
39,"Amir Mirza Gumay"
40,"Amriy R. Suwardi"
41,"Amrul Ummami"
42,"Andhika Triyadi"
43,"Andi A. Manoppo"
44,"Andi Burhamzah"
45,"Andi Pulung Waluyo"
46,"Andi Rianto"
47,"Andi Syahwal Mattuju"
48,"Andibachtiar Yusuf"
49,"Andreas Sullivan"
50,"Andrew Timothy"
51,"Andri Cung"
52,"Andri Sofyansyah"
53,"Angga Dwimas Sasongko"
54,"Angger Yudha Setiawan"
55,"Anggi Banurea"
56,"Anggi Frisca"
57,"Anggun Priambodo"
58,"Anggy Umbara"
59,"Angling Sagaran"
60,"Annisa Meutia"
61,"Anto Lupus"
62,"Archie Hekagery"
63,"Ardiansah Sulistiana"
64,"Ardy Octaviand"
65,"Arfan Sabran"
66,"Ari Sihasale"
67,"Aria Kusumadewa"
68,"Arie Achmad Buang"
69,"Arie Azis"
70,"Arie Kriting"
71,"Arief Malinmudo"
72,"Ario Rubbik"
73,"Aris Nugraha"
74,"Arwin Wardhana"
75,"Aryanto Yuniawan"
76,"Asad Amar"
77,"Asep Kusdinar"
78,"Assad M.A."
79,"Asun Mawardi"
80,"Atta Halilintar"
81,"Aung"
82,"Awi Suryadi"
83,"Azhar Kinoi Lubis"
84,"Azuzan Juan Gontarella"
85,"B.W. Purba Negara"
86,"Bagus Bramanti"
87,"Bagus Iman"
88,"Baim Wong"
89,"Bambang Drias"
90,"Bambang Ipoenk K.M."
91,"Bani Marhaen"
92,"Bayu Pamungkas"
93,"Bayu Skak"
94,"Bene Dion Rajagukguk"
95,"Benni Setiawan"
96,"Billy Christian"
97,"Bobby Moeryawan"
98,"Bobby Prabowo"
99,"Bobby Prasetyo"
100,"Bony Wirasmono"
101,"Bounty Umbara"
102,"Boy Rano"
103,"Bram Ferino"
104,"Cassandra Massardi"
105,"Ceppy Gober"
106,"Chaerul Umam"
107,"Chairun Nissa"
108,"Chandra Liow"
109,"Chang-hee Lee"
110,"Charles Gozali"
111,"Cheverly Amalia"
112,"Chiska Doppert"
113,"Christian Pauli"
114,"Conor Allyn"
115,"Cornelio Sunny"
116,"Cuk Fk"
117,"Damar R Rahmawan"
118,"Damien Dematra"
119,"Danial Rifki"
120,"Daryl Wilson"
121,"Dato Kk Chua"
122,"David Purnomo"
123,"Deddy Corbuzier"
124,"Deddy Mizwar"
125,"Dede Ferdinand"
126,"Deden Bagaskara"
127,"Dedi Setiadi"
128,"Dedy Kopola"
129,"Dedy Mercy"
130,"Dedy Syah"
131,"Delon Tio"
132,"Deni Pusung"
133,"Derby Romero"
134,"Dezi Ruwah Rezeki"
135,"Dian Sasmita Faisal"
136,"Dimas Anggara"
137,"Dineshkumar Subashchandra"
138,"Dinna Jasanti"
139,"Dirmawan Hatta"
140,"Djenar Maesa Ayu"
141,"Dondy Adrian"
142,"Dono Pradana"
143,"Dwi Ilalang"
144,"Dwi Sasono"
145,"Dyan Sunu Prastowo"
146,"Eddie Cahyono"
147,"Eddy Prasetya"
148,"Eden Junjung"
149,"Edwin"
150,"Edy Mandala"
151,"Eka Katili"
152,"Eki N.F."
153,"Eman Pradipta"
154,"Emil G. Hampp"
155,"Emil Heradi"
156,"Emilka Bias"
157,"Encep Masduki"
158,"Endiarto"
159,"Endri Pelita"
160,"Eric Satyo"
161,"Ernest Prakasa"
162,"Erwin Arnada"
163,"Erwin Budiono"
164,"Etienne Caesar"
165,"Eugene Panji"
166,"F.X. Purnomo"
167,"Fahmy J. Saad"
168,"Fajar Bustomi"
169,"Fajar Martha Santosa"
170,"Fajar Nugros"
171,"Faozan Rizal"
172,"Farid Dermawan"
173,"Farid Ongky"
174,"Farishad I. Latjuba"
175,"Faza Meonk"
176,"Ferdinand Almi"
177,"Ferry Ipey Assad"
178,"Ferry L."
179,"Ferry Pei Irawan"
180,"Feyhero"
181,"Findo Purwono"
182,"Firman Syah"
183,"Gareth Evans"
184,"Garin Nugroho"
185,"George Hutabarat"
186,"George Timothy"
187,"Geri Busye"
188,"Gina S. Noer"
189,"Ginanti Rona"
190,"Giovanni Rustanto"
191,"Girry Pratama"
192,"Gunawan Paggaru"
193,"Guntur Novaris"
194,"Guntur Soeharjanto"
195,"Gunung Nusa Pelita"
196,"Habiburrahman El Shirazy"
197,"Hadrah Daeng Ratu"
198,"Halim Gani Safia Asril Sani"
199,"Hanny Mustofa"
200,"Hanny Saputra"
201,"Hanung Bramantyo"
202,"Hari Suhariyadi"
203,"Harris Nizam"
204,"Harry Suharyadi"
205,"Hartawan Triguna"
206,"Haryanto Corakh"
207,"Hasto Broto"
208,"Hedy Suryawan"
209,"Helfi C.H. Kardit"
210,"Hendra Martono"
211,"Hendra Sirajuddin"
212,"Hendrick Jhansen Metemko"
213,"Henry Adianto"
214,"Henry Riady"
215,"Herdanius Larobu"
216,"Heri Kurniawan"
217,"Herman Panca"
218,"Heru Sukmadana Surya"
219,"Herwin Novianto"
220,"Hestu Saputra"
221,"Hilman Mutasi"
222,"Ifa Isfansyah"
223,"Ihdar Nur"
224,"Iip Sariful Hanan"
225,"Iko Uwais"
226,"Imam Darto"
227,"Iman Brotoseno"
228,"Imron Ayikayu"
229,"Inarah Syarafina"
230,"Indra Birowo"
231,"Indra Gunawan"
232,"Indra Tirtana"
233,"Indrayanto Kurniawan"
234,"Iqbal Alfajri"
235,"Iqbal Rais"
236,"Irham Acho Bahtiar"
237,"Irwan Siregar"
238,"Ismail Basbeth"
239,"Ismail Sofyan Sani"
240,"Ivan Bandhito"
241,"Ivander Tedjasukmana"
242,"Jacky"
243,"Jason Iskandar"
244,"Jastis Arimba"
245,"Jay Sukmo"
246,"Je Yatmoko"
247,"Jeihan Angga"
248,"Jeremias Nyangoen"
249,"JeroPoint"
250,"Jito Banyu"
251,"Joel Fadli"
252,"Joel Fadly"
253,"Johansyah Jumberan"
254,"Johar Prayudhi"
255,"John de Rantau"
256,"Joko Anwar"
257,"Joko Nugroho"
258,"Jose Poernomo"
259,"Jovial Da Lopez"
260,"K. Team"
261,"K.K. Dheeraj"
262,"Kabir Bhatia"
263,"Kamila Andini"
264,"Karsono Hadi"
265,"Kemal Al Giffari"
266,"Kemal Fathur"
267,"Kemal Palevi"
268,"Kenny Gulardi"
269,"Kenzô Maihara"
270,"Kevin Rahardjo"
271,"Key Mangunsong"
272,"Khalid Kashogi"
273,"Kiki Nuriswan"
274,"Kimo Stamboel"
275,"Kris Budiman"
276,"Krishto D. Alam"
277,"Kristo Immanuel"
278,"Kuntz Agus"
279,"Kunun Nugroho"
280,"Lakonde"
281,"Larry Whitaker"
282,"Lasja Fauzia"
283,"Latisa Naraswari"
284,"Lee Croudy"
285,"Loeloe Hendra Komara"
286,"Lola Amaria"
287,"Lucky Kuswandi"
288,"Ludy Oji Prastama"
289,"Lukman Sardi"
290,"M. Haikal"
291,"Majed Salleh"
292,"Makbul Mubarak"
293,"Mamahit Luigi Donie"
294,"Marsha Hermansyah Abidin"
295,"Maruli Ara"
296,"Maxime Bouttier"
297,"Meira Anastasia"
298,"Mike Wiluan"
299,"Mimi Jegon"
300,"Mirwan Suwarso"
301,"Mizam Fadilah Ananda"
302,"Mohammad Irfan Ramly"
303,"Monty Tiwa"
304,"Mouly Surya"
305,"Muchyar Syamas"
306,"Muhadkly Acho"
307,"Muhammad Yusuf"
308,"Myrna Paramita"
309,"Nanang Istiabudi"
310,"Naya Anindita"
311,"Nayato Fio Nuala"
312,"Nia Di Nata"
313,"Nirattisai Kaljareuk"
314,"Noviandra Santosa"
315,"Nur Hidayat"
316,"Nur Muhammad Taufik"
317,"Nuri Dahlia"
318,"Nurman Hakim"
319,"Ody C. Harahap"
320,"Ook Budiyono"
321,"Otoy Witoyo"
322,"Pandji Pragiwaksono"
323,"Pandu Adi Putra"
324,"Pandu Adjisurya"
325,"Patrick Effendy"
326,"Paul Agusta"
327,"Petruska Karangan"
328,"Philip Mitchell"
329,"Pidi Baiq"
330,"Pritagita Arianegara"
331,"Puguh P.S. Admadja"
332,"Putrama Tuta"
333,"Putri Hermansjah"
334,"R. Jiwo Kusumo"
335,"Rachmania Arunita"
336,"Raditya Dika"
337,"Raditya Sidharta"
338,"Raffi Ahmad"
339,"Rafki Hidayat"
340,"Ragiel Miftach"
341,"Rahabi Mandra"
342,"Rako Prijanto"
343,"Rama DeRanau"
344,"Randolph Zaini"
345,"Rano Karno"
346,"Ratna Sarumpaet"
347,"Ravi L. Bharwani"
348,"Ray Nayoan"
349,"Raymond Handaya"
350,"Razka Robby Ertanto"
351,"Reka Wijaya"
352,"Rendy Herpy"
353,"Rengga Indrayana"
354,"Rere Art2tonic"
355,"Reza Rahadian"
356,"Rhoma Irama"
357,"Riar Rizaldi"
358,"Richard Oh"
359,"Ridho Ivander Rama"
360,"Rifki Rifaldi"
361,"Riri Riza"
362,"Rizal Mantovani"
363,"Rizki Balki"
364,"Robert Ronny"
365,"Rocky Soraya"
366,"Rolly Subhandani"
367,"Ron Widodo"
368,"Ronny Mepet"
369,"Roufy Nasution"
370,"Roy Lolang"
371,"Ruben Adrian"
372,"Rudi Aryanto"
373,"Rudy Soedjarwo"
374,"Ruli Nursetia"
375,"Rully Manna"
376,"Ryan Adriandhy"
377,"Sabrina Rochelle Kalangie"
378,"Sally Wongso"
379,"Salman Aristo"
380,"Salvador Simó"
381,"Sammaria Simanjuntak"
382,"Saptadji"
383,"Sarjono Sutrisno"
384,"Sean Monteiro"
385,"Senoaji Julius"
386,"Sentot Sahid"
387,"Shakuntala"
388,"Shyam Ramsay"
389,"Sidharta Tata"
390,"Sidi Saleh"
391,"Sigit Pradityo"
392,"Sim F."
393,"Sipu Groso"
394,"Sofyan D. Surza"
395,"Soleh Solihun"
396,"Somad Sutedja"
397,"Soni Gaokasak"
398,"Sonu Samtani"
399,"Sridhar Jetty"
400,"Steady Rimba"
401,"Steve R.R. Wantania"
402,"Sunil Soraya"
403,"Suroso M.Y.S."
404,"Surya Pradito"
405,"Svetlana Dea"
406,"Syahrir Arsyad Dini"
407,"Syakir Daulay"
408,"T.B. Silalahi"
409,"Taglines"
410,"Tanzilal Azizie"
411,"Taufan Agustyan"
412,"Teddy Soeriaatmadja"
413,"Tema Patrosza"
414,"Thaleb Wahjudi"
415,"Theo Rumansara"
416,"Thoersi Argeswara"
417,"Thomas Nawilis"
418,"Tika Pramesti"
419,"Timo Tjahjanto"
420,"Titien Wattimena"
421,"Tommy Dewo"
422,"Tompi"
423,"Tora Sudiro"
424,"Toto Hoedi"
425,"Tubagus Deddy"
426,"Tumpal Tampubolon"
427,"Tya Subiakto Satrio"
428,"Ubay Fox"
429,"Umay Shahab"
430,"Upi Avianto"
431,"Verdi Solaiman"
432,"Virlanwana Langgong"
433,"Viva Westi"
434,"Volkan Maida"
435,"Wahyu Agung Prasetyo"
436,"Wahyu Nugroho"
437,"Wahyuddin Hasani Widodo"
438,"Walmer Sitohang"
439,"We We"
440,"Wi Ding Ho"
441,"Wicaksono Wisnu Legowo"
442,"Wiendy Widasari"
443,"William Chandra"
444,"Wimbadi J.P."
445,"Winalda E."
446,"Winaldha E. Melalatoa"
447,"Wisnu Adi"
448,"Wisnu Kuncoro"
449,"Wisnu Surya Pratama"
450,"Witra Asliga"
451,"Wregas Bhanuteja"
452,"X. Jo"
453,"Yadi Sugandi"
454,"Yan Senjaya"
455,"Yandy Laurens"
456,"Yannie Sukarya"
457,"Yogi S. Calam"
458,"Yongki Ongestu"
459,"Yosep Anggi Noen"
460,"Yosua Rocky"
461,"Yoyok Subagyo"
462,"Yudhistira Bayuadji"
463,"Yusron Fuadi"
464,"Yusuf Radjamuda"
465,"Zeeman Artaboga"
